"Time","qps_power.e_usage"
2024-08-31 00:00:00,1127
2024-08-31 01:00:00,1154
2024-08-31 02:00:00,2558
2024-08-31 03:00:00,1242
2024-08-31 04:00:00,1156
2024-08-31 05:00:00,1122
2024-08-31 06:00:00,1124
2024-08-31 07:00:00,1231
2024-08-31 08:00:00,1249
2024-08-31 09:00:00,1296
2024-08-31 10:00:00,1259
2024-08-31 11:00:00,1300
2024-08-31 12:00:00,1641
2024-08-31 13:00:00,1476
2024-08-31 14:00:00,1477
2024-08-31 15:00:00,1222
2024-08-31 16:00:00,1207
2024-08-31 17:00:00,2568
2024-08-31 18:00:00,1208
2024-08-31 19:00:00,1178
2024-08-31 20:00:00,1232
2024-08-31 21:00:00,1183
2024-08-31 22:00:00,1150
2024-08-31 23:00:00,1170
2024-09-01 00:00:00,1176
2024-09-01 01:00:00,2747
2024-09-01 02:00:00,1204
2024-09-01 03:00:00,1205
2024-09-01 04:00:00,1212
2024-09-01 05:00:00,1140
2024-09-01 06:00:00,1136
2024-09-01 07:00:00,1232
2024-09-01 08:00:00,1221
2024-09-01 09:00:00,1293
2024-09-01 10:00:00,1337
2024-09-01 11:00:00,1233
2024-09-01 12:00:00,2067
2024-09-01 13:00:00,2346
2024-09-01 14:00:00,1427
2024-09-01 15:00:00,1290
2024-09-01 16:00:00,1165
2024-09-01 17:00:00,1058
2024-09-01 18:00:00,1827
2024-09-01 19:00:00,7256
2024-09-01 20:00:00,4598
2024-09-01 21:00:00,1490
2024-09-01 22:00:00,2409
2024-09-01 23:00:00,1662
2024-09-02 00:00:00,903
2024-09-02 01:00:00,939
2024-09-02 02:00:00,939
2024-09-02 03:00:00,915
2024-09-02 04:00:00,911
2024-09-02 05:00:00,966
2024-09-02 06:00:00,1610
2024-09-02 07:00:00,1718
2024-09-02 08:00:00,2909
2024-09-02 09:00:00,1410
2024-09-02 10:00:00,1316
2024-09-02 11:00:00,1288
2024-09-02 12:00:00,1778
2024-09-02 13:00:00,1544
2024-09-02 14:00:00,1365
2024-09-02 15:00:00,1177
2024-09-02 16:00:00,1139
2024-09-02 17:00:00,1190
2024-09-02 18:00:00,2141
2024-09-02 19:00:00,1122
2024-09-02 20:00:00,1168
2024-09-02 21:00:00,1015
2024-09-02 22:00:00,2396
2024-09-02 23:00:00,1136
2024-09-03 00:00:00,942
2024-09-03 01:00:00,905
2024-09-03 02:00:00,946
2024-09-03 03:00:00,925
2024-09-03 04:00:00,950
2024-09-03 05:00:00,1027
2024-09-03 06:00:00,1100
2024-09-03 07:00:00,2437
2024-09-03 08:00:00,1015
2024-09-03 09:00:00,1033
2024-09-03 10:00:00,1038
2024-09-03 11:00:00,1087
2024-09-03 12:00:00,1452
2024-09-03 13:00:00,1370
2024-09-03 14:00:00,1220
2024-09-03 15:00:00,1147
2024-09-03 16:00:00,1047
2024-09-03 17:00:00,983
2024-09-03 18:00:00,1019
2024-09-03 19:00:00,996
2024-09-03 20:00:00,1020
2024-09-03 21:00:00,1105
2024-09-03 22:00:00,1063
2024-09-03 23:00:00,2552
2024-09-04 00:00:00,980
2024-09-04 01:00:00,1017
2024-09-04 02:00:00,945
2024-09-04 03:00:00,978
2024-09-04 04:00:00,968
2024-09-04 05:00:00,1041
2024-09-04 06:00:00,920
2024-09-04 07:00:00,932
2024-09-04 08:00:00,1283
2024-09-04 09:00:00,2224
2024-09-04 10:00:00,1086
2024-09-04 11:00:00,1021
2024-09-04 12:00:00,1492
2024-09-04 13:00:00,1259
2024-09-04 14:00:00,1269
2024-09-04 15:00:00,1113
2024-09-04 16:00:00,989
2024-09-04 17:00:00,1019
2024-09-04 18:00:00,923
2024-09-04 19:00:00,973
2024-09-04 20:00:00,1039
2024-09-04 21:00:00,996
2024-09-04 22:00:00,1724
2024-09-04 23:00:00,1290
2024-09-05 00:00:00,924
2024-09-05 01:00:00,970
2024-09-05 02:00:00,925
2024-09-05 03:00:00,945
2024-09-05 04:00:00,1668
2024-09-05 05:00:00,1800
2024-09-05 06:00:00,1000
2024-09-05 07:00:00,1101
2024-09-05 08:00:00,1130
2024-09-05 09:00:00,1132
2024-09-05 10:00:00,1105
2024-09-05 11:00:00,1076
2024-09-05 12:00:00,1423
2024-09-05 13:00:00,1246
2024-09-05 14:00:00,1249
2024-09-05 15:00:00,1058
2024-09-05 16:00:00,942
2024-09-05 17:00:00,1016
2024-09-05 18:00:00,937
2024-09-05 19:00:00,948
2024-09-05 20:00:00,928
2024-09-05 21:00:00,910
2024-09-05 22:00:00,915
2024-09-05 23:00:00,938
2024-09-06 00:00:00,915
2024-09-06 01:00:00,1107
2024-09-06 02:00:00,2286
2024-09-06 03:00:00,978
2024-09-06 04:00:00,982
2024-09-06 05:00:00,973
2024-09-06 06:00:00,933
2024-09-06 07:00:00,971
2024-09-06 08:00:00,1095
2024-09-06 09:00:00,1153
2024-09-06 10:00:00,1087
2024-09-06 11:00:00,1098
2024-09-06 12:00:00,1526
2024-09-06 13:00:00,1252
2024-09-06 14:00:00,1388
2024-09-06 15:00:00,1793
2024-09-06 16:00:00,1557
2024-09-06 17:00:00,1394
2024-09-06 18:00:00,1283
2024-09-06 19:00:00,1261
2024-09-06 20:00:00,1208
2024-09-06 21:00:00,1817
2024-09-06 22:00:00,2118
2024-09-06 23:00:00,1177
2024-09-07 00:00:00,1216
2024-09-07 01:00:00,1211
2024-09-07 02:00:00,1174
2024-09-07 03:00:00,1175
2024-09-07 04:00:00,1215
2024-09-07 05:00:00,1194
2024-09-07 06:00:00,1137
2024-09-07 07:00:00,1153
2024-09-07 08:00:00,2272
2024-09-07 09:00:00,1977
2024-09-07 10:00:00,2317
2024-09-07 11:00:00,2856
2024-09-07 12:00:00,1827
2024-09-07 13:00:00,3863
2024-09-07 14:00:00,2718
2024-09-07 15:00:00,2954
2024-09-07 16:00:00,2024
2024-09-07 17:00:00,1930
2024-09-07 18:00:00,1761
2024-09-07 19:00:00,1679
2024-09-07 20:00:00,1867
2024-09-07 21:00:00,1666
2024-09-07 22:00:00,1408
2024-09-07 23:00:00,1370
2024-09-08 00:00:00,1368
2024-09-08 01:00:00,1403
2024-09-08 02:00:00,1351
2024-09-08 03:00:00,1319
2024-09-08 04:00:00,1263
2024-09-08 05:00:00,2822
2024-09-08 06:00:00,1207
2024-09-08 07:00:00,1291
2024-09-08 08:00:00,1488
2024-09-08 09:00:00,1684
2024-09-08 10:00:00,2177
2024-09-08 11:00:00,1880
2024-09-08 12:00:00,2379
2024-09-08 13:00:00,2229
2024-09-08 14:00:00,2229
2024-09-08 15:00:00,2232
2024-09-08 16:00:00,1772
2024-09-08 17:00:00,1598
2024-09-08 18:00:00,3733
2024-09-08 19:00:00,6393
2024-09-08 20:00:00,4323
2024-09-08 21:00:00,1272
2024-09-08 22:00:00,1253
2024-09-08 23:00:00,1350
2024-09-09 00:00:00,1245
2024-09-09 01:00:00,1147
2024-09-09 02:00:00,1124
2024-09-09 03:00:00,1148
2024-09-09 04:00:00,1126
2024-09-09 05:00:00,1308
2024-09-09 06:00:00,1915
2024-09-09 07:00:00,1344
2024-09-09 08:00:00,2492
2024-09-09 09:00:00,1506
2024-09-09 10:00:00,1395
2024-09-09 11:00:00,1348
2024-09-09 12:00:00,1685
2024-09-09 13:00:00,1753
2024-09-09 14:00:00,1663
2024-09-09 15:00:00,1423
2024-09-09 16:00:00,1304
2024-09-09 17:00:00,1344
2024-09-09 18:00:00,3110
2024-09-09 19:00:00,6295
2024-09-09 20:00:00,3620
2024-09-09 21:00:00,1454
2024-09-09 22:00:00,1198
2024-09-09 23:00:00,1177
2024-09-10 00:00:00,2762
2024-09-10 01:00:00,1126
2024-09-10 02:00:00,1154
2024-09-10 03:00:00,1159
2024-09-10 04:00:00,1191
2024-09-10 05:00:00,1198
2024-09-10 06:00:00,1156
2024-09-10 07:00:00,1050
2024-09-10 08:00:00,1110
2024-09-10 09:00:00,1258
2024-09-10 10:00:00,1141
2024-09-10 11:00:00,1228
2024-09-10 12:00:00,3007
2024-09-10 13:00:00,1673
2024-09-10 14:00:00,1489
2024-09-10 15:00:00,1345
2024-09-10 16:00:00,1337
2024-09-10 17:00:00,1546
2024-09-10 18:00:00,1216
2024-09-10 19:00:00,1174
2024-09-10 20:00:00,1219
2024-09-10 21:00:00,1209
2024-09-10 22:00:00,1544
2024-09-10 23:00:00,2472
2024-09-11 00:00:00,1233
2024-09-11 01:00:00,1251
2024-09-11 02:00:00,1285
2024-09-11 03:00:00,1191
2024-09-11 04:00:00,1180
2024-09-11 05:00:00,1299
2024-09-11 06:00:00,1233
2024-09-11 07:00:00,1103
2024-09-11 08:00:00,2723
2024-09-11 09:00:00,1195
2024-09-11 10:00:00,1185
2024-09-11 11:00:00,1181
2024-09-11 12:00:00,1582
2024-09-11 13:00:00,1424
2024-09-11 14:00:00,1408
2024-09-11 15:00:00,1275
2024-09-11 16:00:00,1185
2024-09-11 17:00:00,2746
2024-09-11 18:00:00,1352
2024-09-11 19:00:00,1293
2024-09-11 20:00:00,1244
2024-09-11 21:00:00,1285
2024-09-11 22:00:00,1218
2024-09-11 23:00:00,1188
2024-09-12 00:00:00,1278
2024-09-12 01:00:00,2883
2024-09-12 02:00:00,1245
2024-09-12 03:00:00,1242
2024-09-12 04:00:00,1234
2024-09-12 05:00:00,1354
2024-09-12 06:00:00,1097
2024-09-12 07:00:00,1083
2024-09-12 08:00:00,2214
2024-09-12 09:00:00,1498
2024-09-12 10:00:00,1085
2024-09-12 11:00:00,1134
2024-09-12 12:00:00,1381
2024-09-12 13:00:00,1289
2024-09-12 14:00:00,1332
2024-09-12 15:00:00,1134
2024-09-12 16:00:00,8319
2024-09-12 17:00:00,11575
2024-09-12 18:00:00,11556
2024-09-12 19:00:00,11543
2024-09-12 20:00:00,6000
2024-09-12 21:00:00,1059
2024-09-12 22:00:00,918
2024-09-12 23:00:00,976
2024-09-13 00:00:00,956
2024-09-13 01:00:00,910
2024-09-13 02:00:00,986
2024-09-13 03:00:00,940
2024-09-13 04:00:00,2328
2024-09-13 05:00:00,1187
2024-09-13 06:00:00,1789
2024-09-13 07:00:00,947
2024-09-13 08:00:00,987
2024-09-13 09:00:00,1113
2024-09-13 10:00:00,1155
2024-09-13 11:00:00,1122
2024-09-13 12:00:00,1483
2024-09-13 13:00:00,1283
2024-09-13 14:00:00,1254
2024-09-13 15:00:00,1146
2024-09-13 16:00:00,1276
2024-09-13 17:00:00,1039
2024-09-13 18:00:00,984
2024-09-13 19:00:00,2490
2024-09-13 20:00:00,1127
2024-09-13 21:00:00,923
2024-09-13 22:00:00,965
2024-09-13 23:00:00,959
2024-09-14 00:00:00,926
2024-09-14 01:00:00,960
2024-09-14 02:00:00,1230
2024-09-14 03:00:00,2250
2024-09-14 04:00:00,971
2024-09-14 05:00:00,1031
2024-09-14 06:00:00,890
2024-09-14 07:00:00,1065
2024-09-14 08:00:00,1075
2024-09-14 09:00:00,1120
2024-09-14 10:00:00,1140
2024-09-14 11:00:00,1074
2024-09-14 12:00:00,1911
2024-09-14 13:00:00,2523
2024-09-14 14:00:00,
2024-09-14 15:00:00,
2024-09-14 16:00:00,
2024-09-14 17:00:00,
2024-09-14 18:00:00,
2024-09-14 19:00:00,
2024-09-14 20:00:00,954
2024-09-14 21:00:00,990
2024-09-14 22:00:00,986
2024-09-14 23:00:00,2236
2024-09-15 00:00:00,1400
2024-09-15 01:00:00,970
2024-09-15 02:00:00,945
2024-09-15 03:00:00,957
2024-09-15 04:00:00,953
2024-09-15 05:00:00,1487
